#,Player,Team,GP,GS,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
138,A. PAJOLA,VIR,24,13,19:05,4,0.6,1.2,51.7%,0.7,2.5,27.1%,0.8,1.1,66.7%,0.4,2.3,2.7,4.2,1.1,1.2,0.2,0,2.9,1.5,6.9
139,N. SAKO,VBC,36,20,13:12,5,2.1,3.4,60.5%,0,0,0%,0.8,1.8,46%,1.8,2,3.7,0.6,0.3,0.8,0.4,0.2,1.9,1.8,6.5
140,D. SLEVA,ZAL,38,7,18:33,7,1.1,2.6,43.3%,1.2,2.9,41.1%,1.1,1.5,76.8%,1.3,2.2,3.5,1.1,0.6,0.6,0.1,0.2,2.9,1.4,6.5
141,N. KALINIC,CZV,38,24,23:13,6,1.1,2.2,50.6%,0.9,2.3,40.4%,0.9,1.3,67.3%,1.1,2.4,3.4,1.9,0.5,1.5,0.3,0.2,2.6,1.7,6.5
142,A. DIARRA,VIR,28,4,10:38,4.5,2,2.9,68.8%,0,0,0%,0.6,1,55.2%,1.3,1.8,3.1,0.7,0.2,0.6,0.6,0.1,1.9,1.2,6.4
143,J. ANDERSON,DUB,33,12,23:28,6.1,1,1.8,55%,1.1,2.7,40.9%,0.8,1,87.5%,0.8,2.2,3,1.3,0.4,0.6,0.5,0.1,2.6,0.7,6.3
144,J. VOIGTMANN,BAY,23,8,13:00,3.7,0.7,1.3,54.8%,0.7,1.8,36.6%,0.3,0.3,75%,0.7,2.7,3.3,1.7,0.3,0.9,0.2,0,1.1,0.8,6.3
145,E. ULANOVAS,ZAL,38,10,18:23,5.2,0.9,2.1,43.8%,0.6,1.4,40.7%,1.6,2,81.6%,0.8,1.4,2.3,1.5,0.3,0.4,0.1,0.2,1.8,1.8,6.3
146,M. SPAGNOLO,KBA,37,1,15:28,5.4,1.5,2.9,52.3%,0.4,1.1,34.1%,1.2,1.5,78.6%,0.3,1.4,1.7,1.9,0.5,0.8,0.1,0.2,1.2,1.5,6.3
147,D. BRIZUELA,BAR,36,1,15:36,9.2,2.1,3.8,56.2%,1.4,3.8,36.2%,0.7,0.8,86.7%,0.2,1,1.1,1.4,0.6,0.9,0,0.1,1.9,1.1,6.2
148,A. TRAORE,ASV,36,8,15:53,5.8,1.8,2.6,69.9%,0.6,1.7,35%,0.4,0.7,66.7%,1.3,2.2,3.5,0.5,0.4,1,0.4,0.2,1.8,0.8,6.2
149,A. M'BAYE,PBB,34,20,17:18,7.6,1.5,2.8,52.6%,1,2.8,35.4%,1.6,2,79.7%,0.6,0.9,1.6,1,0.6,1.1,0.1,0.1,1.9,1.9,6.2
150,K. DIOP,KBA,28,23,16:44,4,1.7,2.4,69.1%,0,0,0%,0.6,1.1,56.3%,1.9,2.3,4.2,0.6,0.5,0.9,0.6,0.1,2.7,1.2,6.1
