#,Player,Team,GP,GS,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
51,D. HALL,OLY,33,1,15:42,7.3,2.8,3.6,77.5%,0,0,0%,1.6,2.1,79.4%,1.8,2.9,4.7,0.7,0.5,0.5,0.9,0.1,1.8,1.8,12
52,A. OBST,BAY,35,24,26:35,14.5,1.9,3.8,48.9%,2.9,7.6,37.8%,2.2,2.4,89.4%,0.3,1.8,2.1,2,0.4,1.5,0.1,0.4,1,2.8,12
53,M. HEZONJA,RMB,38,30,22:07,13.2,3.3,6.3,52.7%,1.5,5.1,30.2%,1.9,2.3,81.8%,0.6,3.3,3.9,2.2,0.7,1.6,0,0.4,1.6,2.3,11.7
54,C. JONES,HTA,38,4,20:01,9.7,2.2,4.2,51.6%,1.4,3.3,42.7%,1.2,1.3,86.3%,0.2,1.8,2,4.2,0.9,1.5,0,0.2,1.4,2,11.6
55,N. REUVERS,VBC,38,18,19:02,10.8,2.7,3.7,73.6%,1.2,2.8,43.9%,1.7,2.6,64.3%,1.2,2.2,3.4,0.4,0.5,0.7,0.7,0.1,2.6,2.4,11.4
56,E. OSMANI,EFS,36,34,24:26,10.9,3.1,5.4,57.2%,1,2.5,40.7%,1.6,2.1,78.4%,1.2,3.4,4.6,1.3,0.5,2,0.2,0.3,2.4,2.8,11.4
57,Q. ELLIS,EA7,36,31,25:19,8.2,2.3,4.4,53.5%,0.6,1.7,37.7%,1.6,2,81.9%,0.9,2,2.9,4.5,0.8,1.7,0.1,0.2,2.2,2.4,11.3
58,T. MALEDON,RMB,32,3,17:24,9.3,2.1,3.9,53.2%,0.6,2,30.2%,3.3,3.8,87%,0.5,1.7,2.2,2.9,0.6,1.4,0.1,0.3,1.8,3.4,11.2
59,M. STRAZEL,ASM,38,17,23:57,9.2,1.5,2.8,51.9%,1.3,3.3,38.9%,2.4,2.9,82.7%,0.3,1.5,1.8,3.9,0.8,1.7,0,0.2,2.1,3.2,11.2
60,M. GUDURIC,EA7,35,10,22:02,9.9,1.7,2.9,57.8%,1.3,3.4,38.3%,2.6,2.9,90.2%,0.3,2.3,2.7,3.7,0.5,2.2,0,0.2,2.5,2.9,11.1
60,T. SATORANSKY,BAR,35,32,25:04,7.1,1.2,2.4,50%,1.3,2.5,49.4%,0.9,1.2,74.4%,0.9,2.7,3.5,4.3,0.7,1.4,0.1,0.2,2,1.7,11.1
62,E. OMORUYI,KBA,23,8,20:13,10.7,2.3,4.7,49.5%,0.9,2.9,31.8%,3.3,4.2,78.1%,1.5,2.2,3.7,1.9,0.6,2,0.2,0.5,2,3.7,11.1
63,D. WASHINGTON,PAR,23,7,21:55,14.9,3.3,6.4,51.4%,2.1,5.7,37.7%,1.9,2.4,80%,0.2,1.3,1.5,2.5,0.6,1.7,0,0.8,2.3,3.3,11
64,S. BROWN,PAR,37,33,28:07,13.7,3,5.8,51.6%,2.1,5.2,39.2%,1.5,1.7,90.5%,0.6,2.3,2.8,2.3,0.9,2,0.2,0.6,1.8,1.7,11
65,N. WEILER-BABB,EFS,37,36,28:47,7.7,1.1,2.2,48.2%,1.4,3.8,36.6%,1.3,1.8,75.4%,0.8,2.6,3.4,4.8,1.2,1.6,0.1,0.1,2.7,2.2,11
66,C. EDWARDS,VIR,36,35,25:25,17.3,3.8,8,46.7%,2.5,7.8,31.9%,2.3,2.9,79.8%,0.3,1.9,2.2,2.3,0.9,2.6,0.1,1.1,1.8,3.8,11
67,S. NIANG,VIR,38,13,21:38,7.1,2.7,4.2,65.2%,0.1,0.3,33.3%,1.3,1.7,79.4%,2,3,5,1.9,0.9,1.4,0.4,0.2,2.4,1.8,10.9
68,N. WILLIAMS-GOSS,ZAL,27,25,23:09,11.3,3.6,7.4,48.2%,1,2.4,39.4%,1.3,1.7,78.3%,0.4,2.1,2.5,3.7,1,1.4,0.1,0.5,2.1,2,10.9
69,K. SIMMONS,KBA,31,17,22:10,11.1,3,4.7,64.1%,0.9,3.3,28.7%,2.3,2.5,90.9%,0.2,1.1,1.3,3,0.7,1.5,0.1,0.2,2.3,2.8,10.8
70,V. MICIC,HTA,36,34,23:45,11.4,2.2,4.1,54.1%,1.6,5.2,30.9%,2.1,2.3,90.5%,0.1,2.4,2.6,4.2,0.9,2.7,0,0.5,2.4,3.1,10.8
71,J. BUTLER,CZV,31,4,19:47,13.3,2.8,5.5,51.2%,2,5.4,36.3%,1.8,2.2,81.2%,0.6,1.5,2.1,3.7,0.6,1.9,0.1,0.5,2.5,2.4,10.8
72,J. LOYD,EFS,34,18,23:28,11.4,1.9,4,47.1%,1.6,4.6,34.6%,2.9,3.3,85.8%,0.6,1.9,2.5,1.9,0.6,1.2,0.1,0.3,2.4,3.9,10.8
73,V. LUCIC,BAY,33,33,23:10,8,1.8,3.2,56.2%,0.8,2.4,34.6%,2,2.3,86.8%,0.8,3,3.8,1.5,0.5,0.8,0.1,0.2,1.9,3,10.7
74,D. THOMPSON,VBC,38,19,19:15,9.6,1.8,3.4,54.7%,1.6,4,40.8%,1,1.2,84.4%,0.9,1.1,2,3.4,1,1.1,0.3,0.1,1.8,1.4,10.7
75,L. BOLMARO,EA7,29,18,22:36,9.8,2.9,6,48.9%,0.7,1.7,39.6%,2,2.5,80.6%,0.9,2.5,3.4,2.9,0.7,1.4,0.1,0.4,2.4,2.6,10.7
