Season;Rank;Player;Team;GP;GS;Min;PTS;2PM;2PA;2P%;3PM;3PA;3P%;FTM;FTA;FT%;OR;DR;TR;AST;STL;TO;BLK;BLKA;FC;FD;PIR
2017-18;85;S. VAN ROSSOM;VBC;24;12;21:37;7.2;1.0;1.9;50%;1.4;3.4;42%;1.0;1.2;85.7%;0.5;1.5;2.0;4.0;0.2;1.8;0.0;0.1;1.9;1.7;8.1
2017-18;86;R. MCCALLUM;UNI;30;24;21:32;9.2;3.0;6.4;46.6%;0.6;2.1;28.6%;1.4;2.2;62.7%;0.6;1.7;2.3;2.7;0.9;1.5;0.2;0.5;1.6;2.1;8.1
2017-18;87;P. RIBAS;FCB;28;12;17:48;6.7;0.8;1.4;55.3%;1.5;3.2;47.8%;0.6;0.6;100%;0.2;1.4;1.6;3.0;0.7;1.4;0.1;0.0;1.5;1.1;8.1
2017-18;88;G. SHERMADINI;UNI;23;10;14:24;6.5;2.0;4.3;47.5%;0.0;0.0;0%;2.4;3.3;74.7%;1.3;2.2;3.5;0.5;0.3;1.3;0.5;0.3;1.7;3.2;8.0
2017-18;89;J. ANDERSON;KHI;31;29;21:45;9.2;2.1;3.6;57.1%;1.3;3.8;34.5%;1.1;1.3;87.5%;0.5;2.3;2.8;1.3;0.6;0.9;0.3;0.2;2.3;1.3;8.0
2017-18;90;A. DOORNEKAMP;VBC;30;18;22:15;5.9;0.7;1.9;36.8%;1.1;3.3;33%;1.2;1.5;80.4%;0.8;3.0;3.8;1.5;0.8;0.6;0.3;0.1;2.2;2.0;7.7
2017-18;91;L. RADOSEVIC;BRO;28;19;20:43;7.2;2.8;5.3;53.4%;0.0;0.0;0%;1.6;2.0;80%;1.1;2.2;3.4;0.8;0.2;1.1;0.4;0.2;2.2;2.1;7.6
2017-18;92;B. MOTUM;EFS;29;14;19:10;8.7;2.4;4.5;52.7%;1.0;2.5;38.4%;1.0;1.0;96.7%;1.0;2.0;3.0;0.7;0.3;0.8;0.0;0.3;1.3;1.1;7.6
2017-18;93;D. DAVIDOVAC;CZV;24;6;15:38;6.5;1.2;1.9;62.2%;0.9;2.0;46.8%;1.4;1.8;77.3%;0.6;1.4;2.0;1.2;0.7;0.8;0.2;0.2;2.0;2.0;7.5
2017-18;94;P. KOPONEN;FCB;29;9;20:11;7.9;1.3;2.7;46.8%;1.6;3.2;51.1%;0.5;0.6;93.8%;0.2;1.4;1.6;1.5;0.5;0.9;0.0;0.2;1.4;1.3;7.3
2017-18;95;F. CAUSEUR;RMB;36;24;18:07;6.9;1.7;2.8;58.8%;0.8;1.9;44.1%;1.0;1.4;71.2%;0.4;1.2;1.6;1.9;0.4;1.0;0.1;0.2;1.4;1.6;7.2
2017-18;96;S. MARKOVIC;KHI;33;11;23:42;5.0;0.8;2.1;38.6%;0.8;2.8;26.6%;1.1;1.3;84.1%;0.4;1.9;2.3;3.8;1.3;1.5;0.1;0.1;2.4;2.1;7.2
2017-18;97;M. GUDURIC;FBD;36;17;16:34;6.7;1.4;2.2;65.4%;1.0;2.3;44.6%;0.8;0.9;87.5%;0.4;1.1;1.6;1.9;0.7;1.1;0.0;0.1;2.0;1.5;7.1
2017-18;98;J. TIMMA;BKN;33;27;22:45;7.6;1.0;1.5;67.3%;1.6;4.0;41.2%;0.7;0.9;76.7%;0.9;1.5;2.4;1.3;0.9;1.2;0.1;0.2;1.9;1.0;7.1
2017-18;99;J. STRELNIEKS;OLY;34;4;19:53;7.5;1.2;2.4;50%;1.1;3.0;38.2%;1.6;1.8;91.8%;0.1;1.2;1.3;2.1;0.6;0.9;0.0;0.2;1.7;1.6;7.1
2017-18;100;J. CARROLL;RMB;36;5;15:57;9.4;1.8;3.2;56.9%;1.5;3.3;45.8%;1.2;1.3;95.7%;0.2;0.6;0.9;0.5;0.3;0.6;0.2;0.1;1.5;1.2;7.1
2017-18;101;M. JANNING;BKN;34;15;22:21;8.3;1.1;2.1;52.8%;1.8;4.7;38.7%;0.6;0.6;90.5%;0.1;1.6;1.7;1.5;0.6;0.7;0.1;0.0;2.1;1.5;7.0
2017-18;102;R. MARTINEZ;VBC;29;13;15:22;6.9;0.9;1.6;55.3%;1.2;2.7;44.2%;1.6;1.9;87%;0.4;0.9;1.3;1.3;0.5;0.8;0.0;0.3;1.6;2.1;7.0
2017-18;103;A. ABALDE;VBC;25;9;19:06;7.6;1.7;3.6;48.3%;1.1;2.2;51.9%;0.8;0.9;87%;0.5;1.6;2.1;1.7;0.3;1.3;0.0;0.2;1.8;1.4;6.9
2017-18;104;N. ZISIS;BRO;27;20;22:16;6.3;1.6;3.5;45.7%;0.6;1.4;41%;1.3;1.6;81.8%;0.2;1.9;2.1;2.8;0.5;1.6;0.0;0.2;2.0;2.0;6.9
2017-18;105;A. MILAKNIS;ZAL;36;8;22:24;8.0;0.6;1.1;56.4%;2.1;4.6;44.9%;0.5;0.6;82.6%;0.3;1.6;2.0;0.9;0.4;0.8;0.1;0.1;2.1;1.3;6.6
