#,Player,Team,Age,GP,GS,W,L,Min,DD2,TD3
89,JIMMY CLARK III,MTA,24,37,24,18,19,19:43,1,0
90,GABRIEL DECK,RMB,30,35,8,23,12,20:11,0,0
91,LEANDRO BOLMARO,EA7,25,29,18,13,16,22:36,0,0
92,TJ SHORTS,PAO,28,38,16,22,16,16:14,1,0
92,LUCA VILDOZA,VIR,30,31,19,12,19,21:16,0,0
94,SEMI OJELEYE,CZV,31,39,2,21,18,22:55,0,0
95,JERIAN GRANT,PAO,33,37,27,22,15,23:16,0,0
96,BRANCOU BADIO,VBC,26,34,17,22,12,19:13,0,0
96,CHUMA OKEKE,RMB,27,37,26,23,14,17:38,0,0
98,TJ LEAF,MTA,28,24,1,11,13,18:12,0,0
99,ALLAN DOKOSSI,PBB,26,34,14,14,20,16:10,0,0
99,MAODO LO,ZAL,33,37,5,22,15,18:22,0,0
99,NICOLO MELLI,FBB,34,30,21,21,9,22:49,0,0
99,NIGEL WILLIAMS-GOSS,ZAL,31,27,25,17,10,23:09,2,0
103,JUSTINIAN JESSUP,BAY,27,37,3,17,20,19:19,0,0
103,THOMAS WALKUP,OLY,33,32,32,22,10,24:10,0,0
105,JOHNATHAN MOTLEY,HTA,30,32,6,19,13,15:33,0,0
106,TARIK BIBEROVIC,FBB,24,36,31,24,12,23:51,0,0
107,DZANAN MUSA,DUB,26,18,10,10,8,26:41,1,0
108,ALEC PETERS,OLY,30,38,4,26,12,14:49,0,0
109,DEVON HALL,FBB,30,30,29,18,12,25:07,0,0
110,JOEL PARRA,BAR,25,40,6,22,18,18:39,0,0
111,WILLY HERNANGOMEZ,BAR,31,39,13,21,18,13:32,1,0
112,OSCAR DA SILVA,BAY,27,35,17,15,20,15:54,2,0
113,BRAIAN ANGOLA,ASV,31,15,14,2,13,24:22,0,0
113,MOUHAMED FAYE,PBB,20,38,23,15,23,17:10,1,0
115,MATTHEW COSTELLO,VBC,32,34,6,23,11,16:45,1,0
115,KAI JONES,EFS,24,36,3,11,25,15:27,0,0
117,ARNAS BUTKEVICIUS,ZAL,33,34,20,21,13,17:54,0,0
117,EVAN FOURNIER,OLY,33,34,9,23,11,21:36,0,0
119,KEVARRIUS HAYES,ASM,28,37,6,22,15,17:18,0,0
120,TYSON WARD,OLY,28,32,13,23,9,19:51,0,0
121,ISAIA CORDINIER,EFS,29,30,20,8,22,24:12,0,0
122,KENNETH FARIED,PAO,36,30,12,18,12,14:22,1,0
123,SHAQUILLE HARRISON,ASV,32,29,18,7,22,18:55,0,0
124,EUGENE OMORUYI,KBA,28,23,8,8,15,20:13,0,0
124,DYLAN OSETKOWSKI,PAR,29,35,20,14,21,20:04,0,0
126,DUANE WASHINGTON,PAR,25,23,7,6,17,21:55,0,0
127,CARLIK JONES,PAR,28,15,13,10,5,28:03,1,0
128,DUSTIN SLEVA,ZAL,30,38,7,23,15,18:33,0,0
129,NIKOLA KALINIC,CZV,34,39,25,21,18,23:09,0,0
130,EDGARAS ULANOVAS,ZAL,33,38,10,23,15,18:23,0,0
131,NEAL SAKO,VBC,27,36,20,24,12,13:12,0,0
132,MATTEO SPAGNOLO,KBA,22,37,1,13,24,15:28,0,0
133,THOMAS HEURTEL,ASV,36,25,6,5,20,19:28,1,0
134,DARIO BRIZUELA,BAR,31,38,1,21,17,15:32,0,0
134,NENO DIMITRIJEVIC,BAY,27,16,4,9,7,20:51,2,0
134,ARMEL TRAORE,ASV,22,36,8,7,29,15:53,0,0
134,DEREK WILLIS,PBB,30,28,7,13,15,16:13,0,0
138,MARCIO SANTOS,MTA,23,37,4,17,20,14:03,0,0
138,ALEN SMAILAGIC,VIR,25,31,18,10,21,16:29,0,0
140,ALEKSA AVRAMOVIC,DUB,31,22,1,12,10,17:01,0,0
141,SABEN LEE,"OLY, EFS",26,27,3,9,18,16:46,0,0
142,DAVID MCCORMACK,BAY,26,28,15,13,15,15:28,0,0
143,ZACHARY SELJAAS,ASV,28,36,20,8,28,20:12,0,0
143,ROLANDS SMITS,EFS,30,35,12,10,25,18:58,0,0
145,AMATH M'BAYE,PBB,36,34,20,12,22,17:18,0,0
146,JUSTIN ANDERSON,DUB,32,33,12,16,17,23:28,0,0
147,JARED RHODEN,PBB,26,26,22,10,16,21:19,0,0
148,WENYEN GABRIEL,BAY,28,36,7,17,19,16:56,0,0
149,KARIM JALLOW,VIR,28,37,27,14,23,21:00,0,0
150,ANDRES FELIZ,RMB,28,33,6,22,11,15:42,0,0
