Season,Rank,Player,Team,AgePlayer age,GP,GS,W,L,Min,DD2,TD3
2024-25,141,JUAN NUNEZ,BAR,20,25,5,14,11,15:34,0,0
2024-25,142,PARIS LEE,ASV,29,26,19,11,15,22:01,0,0
2024-25,142,BRYANT DUNSTON,ZAL,38,34,16,15,19,15:41,0,0
2024-25,144,NENO DIMITRIJEVIC,EA7,26,27,7,13,14,16:50,0,0
2024-25,145,SERTAC SANLI,FBB,33,33,17,23,10,13:04,0,0
2024-25,145,SERGE IBAKA,RMB,35,29,2,17,12,12:19,1,0
2024-25,147,LUCA VILDOZA,OLY,29,33,10,23,10,17:40,0,0
2024-25,148,JOHN DIBARTOLOMEO,MTA,33,33,6,11,22,17:25,0,0
2024-25,149,ROKAS GIEDRAITIS,CZV,32,34,2,17,17,15:48,0,0
2024-25,150,JOEL PARRA,BAR,24,31,6,16,15,14:58,1,0
