"Rank","Club","Qualified","Champions","GP","W","L","Win%","PTS+","PTS-","+/-","H","A","OT","L10"
"1","FC Barcelona","Q","","28","21","7","75%","2275","2101","+174","	14-1","	8-5","	4-0","	7-3"
"2","Olympiacos Piraeus","Q","","28","19","9","67.9%","2222","2045","+177","	12-1","	6-9","	2-1","	6-4"
"3","AX Armani Exchange Milan","Q","","28","19","9","67.9%","2069","1992","+77","	10-3","	8-7","	0-1","	6-4"
"4","Real Madrid","Q","","28","18","10","64.3%","2181","2079","+102","	14-1","	7-6","	2-0","	6-4"
"5","Maccabi Playtika Tel Aviv","Q","","28","17","11","60.7%","2272","2209","+63","	11-3","	3-11","	0-0","	7-3"
"6","Anadolu Efes Istanbul","Q","Champions","28","16","12","57.1%","2322","2221","+101","	10-3","	4-11","	1-2","	5-5"
"7","AS Monaco","Q","","28","15","13","53.6%","2311","2225","+86","	7-6","	7-8","	2-2","	7-3"
"8","FC Bayern Munich","Q","","28","14","14","50%","2123","2105","+18","	9-5","	4-10","	0-0","	5-5"
"9","Bitci Baskonia Vitoria-Gasteiz","","","28","12","16","42.9%","2116","2186","-70","	6-7","	3-12","	0-0","	2-8"
"10","ALBA Berlin","","","28","12","16","42.9%","2121","2239","-118","	8-6","	3-11","	0-0","	5-5"
"11","Crvena Zvezda mts Belgrade","","","28","12","16","42.9%","2041","2089","-48","	9-6","	4-9","	0-1","	6-4"
"12","Fenerbahce Beko Istanbul","","","28","10","18","35.7%","2051","2099","-48","	9-4","	3-12","	0-0","	4-6"
"13","Panathinaikos OPAP Athens","","","28","9","19","32.1%","2089","2235","-146","	7-8","	1-12","	0-0","	4-6"
"14","LDLC ASVEL Villeurbanne","","","28","8","20","28.6%","2036","2239","-203","	6-9","	3-10","	0-0","	1-9"
"15","Zalgiris Kaunas","","","28","8","20","28.6%","2084","2249","-165","	5-9","	2-12","	0-1","	4-6"
