"Rank","Club","Qualified","Champions","GP","W","L","Win%","PTS+","PTS-","+/-","H","A","OT","L10"
"1","Anadolu Efes Istanbul","cancelled due to covid-19","","28","24","4","85.7%","2432","2166","266","	11-2","	13-2","	1-0","	9-1"
"2","Real Madrid","cancelled due to covid-19","","28","22","6","78.6%","2371","2165","206","	13-1","	9-5","	0-0","	7-3"
"3","FC Barcelona","cancelled due to covid-19","","28","22","6","78.6%","2357","2193","164","	11-2","	11-4","	0-0","	9-1"
"4","CSKA Moscow","cancelled due to covid-19","","28","19","9","67.9%","2305","2125","180","	10-4","	9-5","	1-1","	7-3"
"5","Maccabi FOX Tel Aviv","cancelled due to covid-19","","28","19","9","67.9%","2291","2164","127","	13-1","	6-8","	1-0","	7-3"
"6","Panathinaikos OPAP Athens","cancelled due to covid-19","","28","14","14","50%","2392","2394","-2","	10-5","	4-9","	2-1","	4-6"
"7","Khimki Moscow Region","cancelled due to covid-19","","28","13","15","46.4%","2393","2380","13","	10-4","	3-11","	0-1","	5-5"
"8","Fenerbahce Beko Istanbul","cancelled due to covid-19","","28","13","15","46.4%","2153","2188","-35","	7-7","	6-8","	1-1","	6-4"
"9","Zalgiris Kaunas","cancelled due to covid-19","","28","12","16","42.9%","2213","2142","71","	7-7","	5-9","	1-3","	7-3"
"10","Valencia Basket","cancelled due to covid-19","","28","12","16","42.9%","2252","2273","-21","	7-7","	5-9","	1-1","	4-6"
"11","Olympiacos Piraeus","cancelled due to covid-19","","28","12","16","42.9%","2243","2282","-39","	9-5","	3-11","	1-2","	5-5"
"12","AX Armani Exchange Milan","cancelled due to covid-19","","28","12","16","42.9%","2163","2236","-73","	9-5","	3-11","	1-1","	2-8"
"13","KIROLBET Baskonia Vitoria-Gasteiz","cancelled due to covid-19","","28","12","16","42.9%","2059","2155","-96","	9-5","	3-11","	0-0","	5-5"
"14","Crvena Zvezda mts Belgrade","cancelled due to covid-19","","28","11","17","39.3%","2079","2108","-29","	7-8","	4-9","	0-3","	2-8"
"15","LDLC ASVEL Villeurbanne","cancelled due to covid-19","","28","10","18","35.7%","2073","2284","-211","	9-5","	1-13","	1-0","	2-8"
"16","ALBA Berlin","cancelled due to covid-19","","28","9","19","32.1%","2304","2423","-119","	4-9","	5-10","	2-3","	4-6"
"17","FC Bayern Munich","cancelled due to covid-19","","28","8","20","28.6%","2064","2281","-217","	6-8","	2-12","	1-0","	2-8"
"18","Zenit St Petersburg","cancelled due to covid-19","","28","8","20","28.6%","2055","2240","-185","	4-11","	4-9","	3-0","	3-7"
