"Rank","Club","Qualified","Champions","GP","W","L","Win%","PTS+","PTS-","+/-","H","A","OT","L10"
"1","Real Madrid","Q","","34","27","7","79.4%","2924","2681","+243","	14-3","	13-4","	2-1","	6-4"
"2","Panathinaikos AKTOR Athens","Q","Champions","34","23","11","67.6%","2752","2580","+172","	14-3","	9-8","	0-3","	8-2"
"3","AS Monaco","Q","","34","23","11","67.6%","2770","2671","+99","	13-4","	10-7","	0-1","	9-1"
"4","FC Barcelona","Q","","34","22","12","64.7%","2812","2692","+120","	15-2","	7-10","	0-0","	6-4"
"5","Olympiacos Piraeus","Q","","34","22","12","64.7%","2643","2526","+117","	13-4","	9-8","	3-0","	9-1"
"6","Fenerbahce Beko Istanbul","Q","","34","20","14","58.8%","2843","2708","+135","	15-2","	5-12","	3-1","	5-5"
"7","Maccabi Playtika Tel Aviv","Q","","34","20","14","58.8%","2969","2939","+30","	13-4","	7-10","	1-0","	7-3"
"8","Baskonia Vitoria-Gasteiz","Q","","34","18","16","52.9%","2847","2865","-18","	10-7","	8-9","	0-1","	6-4"
"9","Anadolu Efes Istanbul","Play-In","","34","17","17","50%","2871","2855","+16","	13-4","	4-13","	1-1","	8-2"
"10","Virtus Segafredo Bologna","Play-In","","34","17","17","50%","2728","2804","-76","	12-5","	5-12","	0-0","	2-8"
"11","Partizan Mozzart Bet Belgrade","","","34","16","18","47.1%","2782","2802","-20","	12-5","	4-13","	2-1","	4-6"
"12","EA7 Emporio Armani Milan","","","34","15","19","44.1%","2645","2631","+14","	12-5","	3-14","	0-2","	5-5"
"13","Valencia Basket","","","34","14","20","41.2%","2578","2674","-96","	9-8","	5-12","	0-1","	2-8"
"14","Zalgiris Kaunas","","","34","14","20","41.2%","2694","2692","+2","	9-8","	5-12","	0-1","	5-5"
"15","FC Bayern Munich","","","34","13","21","38.2%","2604","2724","-120","	9-8","	4-13","	3-1","	3-7"
"16","Crvena Zvezda Meridianbet Belgrade","","","34","11","23","32.4%","2764","2816","-52","	8-9","	3-14","	0-0","	1-9"
"17","LDLC ASVEL Villeurbanne","","","34","9","25","26.5%","2646","2859","-213","	5-12","	4-13","	0-1","	4-6"
"18","ALBA Berlin","","","34","5","29","14.7%","2591","2944","-353","	4-13","	1-16","	0-0","	0-10"
