"Rank","Club","Qualified","Champions","GP","W","L","Win%","PTS+","PTS-","+/-","H","A","OT","L10"
"1","Real Madrid","Q","","30","23","7","76.7%","2585","2353","232","	14-1","	9-6","	0-0","	8-2"
"2","CSKA Moscow","Q","","30","22","8","73.3%","2608","2355","253","	14-1","	8-7","	0-2","	7-3"
"3","Olympiacos Piraeus","Q","","30","19","11","63.3%","2330","2221","109","	11-4","	8-7","	1-0","	5-5"
"4","Panathinaikos Superfoods Athens","Q","","30","19","11","63.3%","2263","2187","76","	14-1","	5-10","	3-1","	8-2"
"5","Fenerbahce Ulker","","Champions","30","18","12","60%","2256","2233","23","	11-4","	7-8","	2-0","	5-5"
"6","Anadolu Efes Istanbul","Q","","30","17","13","56.7%","2472","2467","5","	11-4","	6-9","	2-1","	8-2"
"7","Baskonia Vitoria Gasteiz","Q","","30","17","13","56.7%","2445","2376","69","	10-5","	7-8","	0-0","	5-5"
"8","Darussafaka Dogus Istanbul","Q","","30","16","14","53.3%","2358","2353","5","	11-4","	5-10","	1-0","	6-4"
"9","Crvena Zvezda mts Belgrade","","","30","16","14","53.3%","2203","2196","7","	10-5","	6-9","	0-1","	4-6"
"10","Zalgiris Kaunas","","","30","14","16","46.7%","2350","2391","-41","	6-9","	8-7","	0-0","	6-4"
"11","FC Barcelona Lassa","","","30","12","18","40%","2134","2232","-98","	9-6","	3-12","	0-1","	4-6"
"12","Galatasaray Odeabank Istanbul","","","30","11","19","36.7%","2345","2475","-130","	8-7","	3-12","	0-0","	5-5"
"13","Brose Bamberg","","","30","10","20","33.3%","2369","2404","-35","	6-9","	4-11","	1-1","	3-7"
"14","Maccabi FOX Tel Aviv","","","30","10","20","33.3%","2333","2493","-160","	6-9","	4-11","	0-1","	3-7"
"15","Unics Kazan","","","30","8","22","26.7%","2288","2408","-120","	5-10","	3-12","	0-1","	1-9"
"16","EA7 Emporio Armani Milan","","","30","8","22","26.7%","2411","2606","-195","	6-9","	2-13","	0-1","	2-8"
