"Rank","Club","Qualified","Champions","GP","W","L","Win%","PTS+","PTS-","+/-","H","A","OT","L10"
"1","CSKA Moscow","Q","","30","24","6","80%","2675","2377","298","	14-1","	10-5","	0-1","	8-2"
"2","Fenerbahce Dogus Istanbul","Q","","30","21","9","70%","2381","2208","173","	10-5","	11-4","	2-2","	7-3"
"3","Olympiacos Piraeus","Q","","30","19","11","63.3%","2268","2250","18","	12-3","	7-8","	3-2","	6-4"
"4","Panathinaikos Superfoods Athens","Q","","30","19","11","63.3%","2334","2291","43","	13-2","	6-9","	2-1","	6-4"
"5","Real Madrid","Q","Champions","30","19","11","63.3%","2576","2375","201","	11-4","	8-7","	0-1","	6-4"
"6","Zalgiris Kaunas","Q","","30","18","12","60%","2417","2389","28","	11-4","	7-8","	2-1","	6-4"
"7","KIROLBET Baskonia Vitoria Gasteiz","Q","","30","16","14","53.3%","2487","2373","114","	10-5","	6-9","	0-0","	7-3"
"8","Khimki Moscow Region","Q","","30","16","14","53.3%","2338","2352","-14","	9-6","	7-8","	0-0","	5-5"
"9","Unicaja Malaga","","","30","13","17","43.3%","2347","2435","-88","	9-6","	4-11","	2-1","	5-5"
"10","Maccabi FOX Tel Aviv","","","30","13","17","43.3%","2440","2530","-90","	9-6","	4-11","	0-0","	2-8"
"11","Valencia Basket","","","30","13","17","43.3%","2361","2378","-17","	8-7","	5-10","	0-0","	5-5"
"12","Anadolu Efes Istanbul","","","30","12","18","40%","2360","2384","-24","	10-5","	2-13","	2-1","	3-7"
"13","FC Barcelona Lassa","","","30","11","19","36.7%","2368","2414","-46","	8-7","	3-12","	0-0","	4-6"
"14","Crvena Zvezda mts Belgrade","","","30","11","19","36.7%","2333","2515","-182","	8-7","	3-12","	0-0","	3-7"
"15","AX Armani Exchange Olimpia Milan","","","30","10","20","33.3%","2407","2530","-123","	5-10","	5-10","	1-2","	4-6"
"16","Anadolu Efes Istanbul","","","30","7","23","23.3%","2321","2530","-209","	4-11","	3-12","	0-0","	2-8"
