"Rank","Club","Qualified","Champions","GP","W","L","Win%","PTS+","PTS-","+/-","H","A","OT","L10"
"1","Olympiacos Piraeus","Q","","34","24","10","70.6%","2941","2770","+171","	13-4","	11-6","	1-0","	7-3"
"2","Fenerbahce Beko Istanbul","Q","Champions","34","23","11","67.6%","2829","2760","+69","	12-5","	11-6","	0-0","	7-3"
"3","Panathinaikos AKTOR Athens","Q","","34","22","12","64.7%","2990","2843","+147","	14-3","	8-9","	1-0","	8-2"
"4","AS Monaco","Q","","34","21","13","61.8%","2913","2801","+112","	11-6","	10-7","	1-1","	6-4"
"5","FC Barcelona","Q","","34","20","14","58.8%","2966","2837","+129","	11-6","	9-8","	1-1","	7-3"
"6","Anadolu Efes Istanbul","Q","","34","20","14","58.8%","2941","2788","+153","	12-5","	8-9","	1-0","	9-1"
"7","Real Madrid","Q","","34","20","14","58.8%","2870","2797","+73","	13-4","	7-10","	1-0","	7-3"
"8","Paris Basketball","Q","","34","19","15","55.9%","2940","2910","+30","	11-6","	8-9","	0-0","	5-5"
"9","FC Bayern Munich","Play-In","","34","19","15","55.9%","2965","2984","-19","	13-4","	6-11","	0-0","	5-5"
"10","Crvena Zvezda Meridianbet Belgrade","Play-In","","34","18","16","52.9%","2776","2714","+62","	9-8","	9-8","	1-3","	4-6"
"11","EA7 Emporio Armani Milan","","","34","17","17","50%","2896","2934","-38","	10-7","	7-10","	0-1","	4-6"
"12","Partizan Mozzart Bet Belgrade","","","34","16","18","47.1%","2780","2724","+56","	9-8","	7-10","	0-0","	4-6"
"13","Zalgiris Kaunas","","","34","15","19","44.1%","2626","2669","-43","	10-7","	5-12","	0-1","	4-6"
"14","Baskonia Vitoria-Gasteiz","","","34","14","20","41.2%","2795","2830","-35","	12-5","	2-15","	0-1","	4-6"
"15","LDLC ASVEL Villeurbanne","","","34","13","21","38.2%","2740","2897","-157","	10-7","	3-14","	1-0","	2-8"
"16","Maccabi Playtika Tel Aviv","","","34","11","23","32.4%","2921","3052","-131","	9-8","	2-15","	0-0","	5-5"
"17","Virtus Segafredo Bologna","","","34","9","25","26.5%","2683","2834","-151","	5-12","	4-13","	0-1","	2-8"
"18","ALBA Berlin","","","34","5","29","14.7%","2646","3074","-428","	3-14","	2-15","	2-1","	1-9"
