"Rank","Club","Qualified","Champions","GP","W","L","Win%","PTS+","PTS-","+/-","H","A","OT","L10"
"1","Fenerbahce Beko Istanbul","Q","","30","25","5","83.3%","2504","2237","267","	15-0","	10-5","	0-2","	7-3"
"2","CSKA Moscow","Q","Champions","30","24","6","80%","2590","2397","193","	13-2","	11-4","	1-0","	9-1"
"3","Real Madrid","Q","","30","22","8","73.3%","2578","2342","236","	13-2","	9-6","	0-0","	6-4"
"4","Anadolu Efes Istanbul","Q","","30","20","10","66.7%","2562","2406","156","	12-3","	8-7","	0-0","	7-3"
"5","FC Barcelona Lassa","Q","","30","18","12","60%","2358","2282","76","	12-3","	6-9","	1-0","	7-3"
"6","Panathinaikos OPAP Athens","Q","","30","16","14","53.3%","2382","2345","37","	11-4","	5-10","	0-1","	8-2"
"7","KIROLBET Baskonia Vitoria-Gasteiz","Q","","30","15","15","50%","2449","2378","71","	11-4","	4-11","	0-1","	6-4"
"8","Zalgiris Kaunas","Q","","30","15","15","50%","2360","2323","37","	8-7","	7-8","	1-2","	7-3"
"9","Olympiacos Piraeus","","","30","15","15","50%","2326","2301","25","	10-5","	5-10","	1-0","	3-7"
"10","Maccabi FOX Tel Aviv","","","30","14","16","46.7%","2376","2346","30","	9-6","	5-10","	0-0","	5-5"
"11","FC Bayern Munich","","","30","14","16","46.7%","2348","2404","-56","	10-5","	4-11","	1-1","	4-6"
"12","AX Armani Exchange Olimpia Milan","","","30","14","16","46.7%","2601","2600","1","	8-7","	6-9","	1-0","	5-5"
"13","Khimki Moscow Region","","","30","9","21","30%","2333","2449","-116","	6-9","	3-12","	1-0","	2-8"
"14","Herbalife Gran Canaria","","","30","8","22","26.7%","2317","2616","-299","	6-9","	2-13","	0-1","	2-8"
"15","Buducnost VOLI Podgorica","","","30","6","24","20%","2230","2550","-320","	6-9","	0-15","	0-0","	0-10"
"16","Darussafaka Tekfen Istanbul","","","30","5","25","16.7%","2238","2576","-338","	5-10","	0-15","	0-0","	2-8"
